condition,rouge1,rouge2,rougeL
finetuned_bart,0.22948355003725032,0.07668659524580373,0.1274467168465589
flan_chunk_cot,0.046842959830949674,0.00930364803777605,0.0328549849180865
flan_chunk_few,0.037706881275208576,0.002038735983690112,0.02775031150906969
flan_chunk_zero,0.06456975501148397,0.015445605647294334,0.04133728062954057
led_long_cot,0.14268975413463048,0.02619305010664127,0.0845796772182045
led_long_few,0.13769298884080816,0.02361243593546879,0.08252850737539295
led_long_zero,0.13769298884080816,0.02361243593546879,0.08252850737539295
